t [s];Velocidad [km/h];;;;;
796;3,295442094;;;;;
797;2,361803832;;;;;
798;1,999096021;;;;;
799;2,494395989;;;;;
800;0;;;;;
801;6,752310149;;;;;
802;9,996690144;;;;;
803;13,19742219;;;;;
804;16,00451506;;;;;
805;18,37005183;;;;;
806;20,22363482;;;;;
807;21,74623601;;;;;
808;23,06749469;;;;;
809;24,38139653;;;;;
810;25,63332636;;;;;
811;26,92755406;;;;;
812;28,35854073;;;;;
813;30,06642874;;;;;
814;31,83635824;;;;;
815;33,46796289;;;;;
816;34,6842503;;;;;
817;35,50375173;;;;;
818;35,99385934;;;;;
819;36,28962321;;;;;
820;36,49772238;;;;;
821;36,75872761;;;;;
822;36,75096441;;;;;
823;36,33286288;;;;;
824;35,44051543;;;;;
825;34,102169;;;;;
826;32,13255321;;;;;
827;29,32580334;;;;;
828;25,65503323;;;;;
829;21,13839029;;;;;
830;15,83554124;;;;;
831;10,54338337;;;;;
832;6,383332771;;;;;
833;4,27053466;;;;;
834;4,574375443;;;;;
835;7,021448474;;;;;
836;10,90271816;;;;;
837;14,991127;;;;;
838;18,25608568;;;;;
839;20,28295159;;;;;
840;21,3217298;;;;;
841;21,93719278;;;;;
842;22,82558543;;;;;
843;24,40918131;;;;;
844;26,68424287;;;;;
845;29,34434272;;;;;
846;32,03489762;;;;;
847;34,21589273;;;;;
848;35,63870197;;;;;
849;36,07163569;;;;;
850;35,5407293;;;;;
851;34,14226008;;;;;
852;31,86159285;;;;;
853;29,07348356;;;;;
854;26,14819228;;;;;
855;23,16204486;;;;;
856;20,42864834;;;;;
857;17,97726025;;;;;
858;15,6918961;;;;;
859;13,55946028;;;;;
860;11,54624861;;;;;
861;9,993312869;;;;;
862;9,078932029;;;;;
863;8,860989712;;;;;
864;9,488412211;;;;;
865;10,89737966;;;;;
866;12,65304908;;;;;
867;14,6411017;;;;;
868;16,56460179;;;;;
869;18,14441761;;;;;
870;19,00177703;;;;;
871;19,07707944;;;;;
872;18,46018755;;;;;
873;17,59528689;;;;;
874;16,88491078;;;;;
875;16,93490774;;;;;
876;17,81900287;;;;;
877;19,18078462;;;;;
878;20,46593085;;;;;
879;21,43064463;;;;;
880;21,87380671;;;;;
881;21,96203272;;;;;
882;21,92520155;;;;;
883;22,08559285;;;;;
884;22,49165458;;;;;
885;22,95982931;;;;;
886;23,28745961;;;;;
887;23,48934863;;;;;
888;23,61063248;;;;;
889;23,88600371;;;;;
890;24,47144409;;;;;
891;25,43436465;;;;;
892;26,68598617;;;;;
893;28,0706588;;;;;
894;29,39408534;;;;;
895;30,55332231;;;;;
896;31,54172845;;;;;
897;32,49134289;;;;;
898;33,43131051;;;;;
899;34,29701265;;;;;
900;35,05348423;;;;;
901;35,67815753;;;;;
902;36,04499781;;;;;
903;35,94240445;;;;;
904;35,14755878;;;;;
905;33,591183;;;;;
906;31,3076087;;;;;
907;28,43737156;;;;;
908;25,38314387;;;;;
909;22,4353348;;;;;
910;19,66192748;;;;;
911;16,9561835;;;;;
912;14,08979794;;;;;
913;10,96266892;;;;;
914;7,686513746;;;;;
915;4,591357733;;;;;
916;2,295118907;;;;;
917;1,123652555;;;;;
918;0;;;;;
919;2,909216394;;;;;
920;5,600313712;;;;;
921;8,883594535;;;;;
922;12,3010086;;;;;
923;15,58205431;;;;;
924;18,65220509;;;;;
925;21,38632012;;;;;
926;23,88349604;;;;;
927;26,28137426;;;;;
928;28,51095497;;;;;
929;30,35860347;;;;;
930;31,65694991;;;;;
931;32,34238624;;;;;
932;32,47602429;;;;;
933;32,1987384;;;;;
934;31,79533817;;;;;
935;31,55671378;;;;;
936;31,5183579;;;;;
937;31,42489863;;;;;
938;31,0940307;;;;;
939;30,40643751;;;;;
940;29,47412785;;;;;
941;28,5304031;;;;;
942;27,90057885;;;;;
943;27,74784955;;;;;
944;27,99626176;;;;;
945;28,46028403;;;;;
946;29,0790312;;;;;
947;29,78129735;;;;;
948;30,48924338;;;;;
949;31,0779349;;;;;
950;31,52421184;;;;;
951;31,71641761;;;;;
952;31,60340428;;;;;
953;31,19803002;;;;;
954;30,72979255;;;;;
955;30,40502817;;;;;
956;30,27649992;;;;;
957;30,28853365;;;;;
958;30,4099268;;;;;
959;30,47040243;;;;;
960;30,26312363;;;;;
961;29,6953186;;;;;
962;28,99568359;;;;;
963;28,46531962;;;;;
964;28,29618553;;;;;
965;28,47384045;;;;;
966;28,64142756;;;;;
967;28,26361882;;;;;
968;26,84287738;;;;;
969;24,23392748;;;;;
970;20,79082746;;;;;
971;17,22774768;;;;;
972;14,41809411;;;;;
973;13,02616765;;;;;
974;13,15819666;;;;;
975;14,57412245;;;;;
976;16,69097858;;;;;
977;18,90649351;;;;;
978;20,8368676;;;;;
979;22,29051914;;;;;
980;23,29059673;;;;;
981;23,89835385;;;;;
982;24,11464193;;;;;
983;23,99753415;;;;;
984;23,49371766;;;;;
985;22,58875628;;;;;
986;21,21008602;;;;;
987;19,21654174;;;;;
988;16,58184787;;;;;
989;13,47028841;;;;;
990;10,22644561;;;;;
991;7,375339518;;;;;
992;5,274946871;;;;;
993;4,04095463;;;;;
994;3,38910845;;;;;
995;2,951666048;;;;;
996;2,411247765;;;;;
997;1,676725923;;;;;
998;0;;;;;
999;0;;;;;
1000;0;;;;;
1001;0;;;;;
1002;0;;;;;
1003;0;;;;;
1004;0;;;;;
1005;0;;;;;
1006;0;;;;;
1007;0;;;;;
1008;0;;;;;
1009;0;;;;;
1010;0;;;;;
1011;0;;;;;
1012;0;;;;;
1013;0;;;;;
1014;0;;;;;
1015;0;;;;;
1016;0;;;;;
1017;0;;;;;
1018;0;;;;;
1019;0;;;;;
1020;0;;;;;
1021;0;;;;;
1022;0;;;;;
1023;0;;;;;
1024;0;;;;;
1025;0;;;;;
1026;0;;;;;
1027;0;;;;;
1028;0;;;;;
1029;0;;;;;
1030;0;;;;;
1031;0;;;;;
1032;0;;;;;
1033;0;;;;;
1034;0;;;;;
1035;5,308619329;;;;;
1036;8,87800506;;;;;
1037;12,43998516;;;;;
1038;15,66625805;;;;;
1039;18,73234879;;;;;
1040;21,467183;;;;;
1041;23,74509361;;;;;
1042;25,62464497;;;;;
1043;27,16497285;;;;;
1044;28,42382459;;;;;
1045;29,42443785;;;;;
1046;30,32231405;;;;;
1047;31,21500961;;;;;
1048;31,85662405;;;;;
1049;32,25100557;;;;;
1050;32,53042604;;;;;
1051;32,79064058;;;;;
1052;33,15367718;;;;;
1053;33,7069462;;;;;
1054;34,45040985;;;;;
1055;35,32261359;;;;;
1056;36,22142621;;;;;
1057;37,15363738;;;;;
1058;37,86970754;;;;;
1059;38,00117591;;;;;
1060;37,20699207;;;;;
1061;35,29699376;;;;;
1062;32,38108214;;;;;
1063;29,02267296;;;;;
1064;26,01196762;;;;;
1065;24,12233024;;;;;
1066;23,6089209;;;;;
1067;24,51414066;;;;;
1068;26,60815652;;;;;
1069;29,30622769;;;;;
1070;31,99328993;;;;;
1071;34,35873773;;;;;
1072;36,27308889;;;;;
1073;37,76591263;;;;;
1074;38,90558138;;;;;
1075;39,90725721;;;;;
1076;40,91389307;;;;;
1077;41,91110272;;;;;
1078;42,87138472;;;;;
1079;43,76363704;;;;;
1080;44,48344139;;;;;
1081;44,98150649;;;;;
1082;45,29804756;;;;;
1083;45,46424962;;;;;
1084;45,51962085;;;;;
1085;45,5770032;;;;;
1086;45,74167043;;;;;
1087;46,03347478;;;;;
1088;46,38623309;;;;;
1089;46,75962355;;;;;
1090;47,17875325;;;;;
1091;47,6224004;;;;;
1092;48,05221454;;;;;
1093;48,47138809;;;;;
1094;48,8247799;;;;;
1095;49,01150278;;;;;
1096;48,97369202;;;;;
1097;48,76277011;;;;;
1098;48,541099;;;;;
1099;48,45778715;;;;;
1100;48,57819464;;;;;
1101;48,94943768;;;;;
1102;49,47414404;;;;;
1103;49,99294653;;;;;
1104;50,38078057;;;;;
1105;50,55231641;;;;;
1106;50,49583673;;;;;
1107;50,25991364;;;;;
1108;49,88287873;;;;;
1109;49,65938674;;;;;
1110;49,47417035;;;;;
1111;49,22328487;;;;;
1112;49,03747951;;;;;
1113;48,91910069;;;;;
1114;48,84970956;;;;;
1115;48,87653365;;;;;
1116;49,0197497;;;;;
